"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Dgkz",0.0342406119561515,0.874053671414809,0.253,0.178,1,"Dgkz","OPC","P23","Up"
"Vps13d",0.0342563208712924,0.467778946938215,0.344,0.267,1,"Vps13d","OPC","P23","Up"
"Rab3ip",0.0344222948721338,0.546426892695817,0.29,0.194,1,"Rab3ip","OPC","P23","Up"
"Fam228b",0.0346341975601736,-0.441437123497817,0.389,0.478,1,"Fam228b","OPC","P23","Down"
"Tmem214",0.0348326566195537,0.70966550395309,0.253,0.172,1,"Tmem214","OPC","P23","Up"
"Zfp36l2",0.0352927369289373,-0.404822286188314,0.244,0.344,1,"Zfp36l2","OPC","P23","Down"
"Galnt10",0.0354833977179359,-0.445432833691181,0.416,0.494,1,"Galnt10","OPC","P23","Down"
"Sptan1",0.0357294250371806,0.329312902874197,0.679,0.583,1,"Sptan1","OPC","P23","Up"
"C2cd5",0.0358378313584762,0.516919374429867,0.425,0.35,1,"C2cd5","OPC","P23","Up"
"Jkamp",0.0358455744046935,-0.478523436559164,0.186,0.278,1,"Jkamp","OPC","P23","Down"
"Slc8a3",0.0359942857890809,0.635280702787852,0.335,0.25,1,"Slc8a3","OPC","P23","Up"
"Antxr1",0.0362356662174668,0.469784763118698,0.281,0.2,1,"Antxr1","OPC","P23","Up"
"Dclk1",0.0367756015818289,-0.29508619892031,0.724,0.739,1,"Dclk1","OPC","P23","Down"
"Erbb4",0.0369768738476742,-0.684575888561717,0.222,0.306,1,"Erbb4","OPC","P23","Down"
"Uck1",0.0377517645848622,-0.500239774412304,0.208,0.306,1,"Uck1","OPC","P23","Down"
"Dusp11",0.0378262469590356,0.282971303279584,0.756,0.689,1,"Dusp11","OPC","P23","Up"
"Golga7",0.0378649760166696,-0.385171254612776,0.231,0.333,1,"Golga7","OPC","P23","Down"
"Dpp9",0.0381490618101237,0.593372230672737,0.276,0.194,1,"Dpp9","OPC","P23","Up"
"Fam3c",0.0381966380014518,0.422419814525336,0.326,0.228,1,"Fam3c","OPC","P23","Up"
"Adcy6",0.0387715979456601,-0.461831212715548,0.176,0.261,1,"Adcy6","OPC","P23","Down"
"Dennd4a",0.0387743646563328,-0.322777700851885,0.244,0.344,1,"Dennd4a","OPC","P23","Down"
"Parp8",0.03909433907677,-0.414656534214372,0.303,0.4,1,"Parp8","OPC","P23","Down"
"Reep5",0.0393534699023822,-0.534913021359807,0.19,0.283,1,"Reep5","OPC","P23","Down"
"Atp6v0a1",0.0399863179521063,0.384482751060166,0.516,0.422,1,"Atp6v0a1","OPC","P23","Up"
"Syn2",0.0408336919936408,0.441754351361882,0.262,0.178,1,"Syn2","OPC","P23","Up"
"Mdn1",0.0409317962797074,-0.423874037057184,0.176,0.267,1,"Mdn1","OPC","P23","Down"
"Eml6",0.0412415751165651,-0.317390555206064,0.199,0.294,1,"Eml6","OPC","P23","Down"
"Usp7",0.041455165798858,-0.394519159988825,0.308,0.406,1,"Usp7","OPC","P23","Down"
"Spopl",0.0417296689051332,-0.454556032047884,0.199,0.289,1,"Spopl","OPC","P23","Down"
"Il17d",0.0423800883968442,-0.486722172177553,0.167,0.256,1,"Il17d","OPC","P23","Down"
