"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Enpp6",0.0146905494837481,0.37973084904444,0.768,0.664,1,"Enpp6","Mature_OL","P23","Up"
"Phf14",0.0149586685493819,0.459436744495576,0.638,0.515,1,"Phf14","Mature_OL","P23","Up"
"Ssr4",0.0151326654352394,0.774570462936876,0.275,0.149,1,"Ssr4","Mature_OL","P23","Up"
"Apoe",0.0151886718295684,0.878753141136221,0.428,0.291,1,"Apoe","Mature_OL","P23","Up"
"Rptor",0.0155478425189913,0.866936450691595,0.297,0.179,1,"Rptor","Mature_OL","P23","Up"
"Rtkn",0.0155549639130988,-0.31635326595031,0.667,0.761,1,"Rtkn","Mature_OL","P23","Down"
"Hexa",0.0155933361934239,0.717081076591166,0.348,0.216,1,"Hexa","Mature_OL","P23","Up"
"Kif5b",0.016303508771612,0.729352685616047,0.428,0.284,1,"Kif5b","Mature_OL","P23","Up"
"Ankrd28",0.0163066651764581,0.274923408510488,0.928,0.858,1,"Ankrd28","Mature_OL","P23","Up"
"Fip1l1",0.016398420446787,-1.04019049677542,0.217,0.328,1,"Fip1l1","Mature_OL","P23","Down"
"Ginm1",0.0166873895053218,-0.702161150296476,0.174,0.291,1,"Ginm1","Mature_OL","P23","Down"
"Snrnp48",0.0173913687776121,-0.721497681210657,0.37,0.485,1,"Snrnp48","Mature_OL","P23","Down"
"Lrrc4c",0.0174544382321144,-0.783307994573902,0.196,0.313,1,"Lrrc4c","Mature_OL","P23","Down"
"Nt5c3b",0.0176455098199992,0.901673036012075,0.297,0.179,1,"Nt5c3b","Mature_OL","P23","Up"
"Homer3",0.0176478328818715,0.861863442211262,0.304,0.179,1,"Homer3","Mature_OL","P23","Up"
"Map7d2",0.0185551369105214,-0.731005328146336,0.297,0.418,1,"Map7d2","Mature_OL","P23","Down"
"Far1",0.0187164643345782,-0.257703623496325,0.725,0.806,1,"Far1","Mature_OL","P23","Down"
"Tbc1d5",0.0187741026811623,0.342474455410748,0.449,0.284,1,"Tbc1d5","Mature_OL","P23","Up"
