"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Eid1",0.0689362897532666,-1.97766058160637,0.125,0.75,1,"Eid1","Granule_DG","P23","Down"
"Tjp1",0.0689362897532666,-2.22584247022716,0.125,0.75,1,"Tjp1","Granule_DG","P23","Down"
"Cope",0.0689362897532666,-2.30600783853241,0.125,0.75,1,"Cope","Granule_DG","P23","Down"
"Eif5a",0.0689362897532666,-2.10840707142068,0.125,0.75,1,"Eif5a","Granule_DG","P23","Down"
"Grn",0.0689362897532666,-2.45908447601089,0.125,0.75,1,"Grn","Granule_DG","P23","Down"
"Sema6a",0.0689362897532666,-2.2259805884545,0.125,0.75,1,"Sema6a","Granule_DG","P23","Down"
"Cox15",0.0689362897532666,-2.19974619441195,0.125,0.75,1,"Cox15","Granule_DG","P23","Down"
"Epm2aip1",0.0694692648629728,-1.38811953318739,0.5,1,1,"Epm2aip1","Granule_DG","P23","Down"
"Trim35",0.0694692648629728,-1.42128800888952,0.5,1,1,"Trim35","Granule_DG","P23","Down"
"Fubp1",0.0698367731320281,-1.87743138138983,0.375,0.75,1,"Fubp1","Granule_DG","P23","Down"
"Spock3",0.0698367731320281,-1.92040498372119,0.375,0.75,1,"Spock3","Granule_DG","P23","Down"
"Npc1",0.0698367731320281,-1.30520125808991,0.375,0.75,1,"Npc1","Granule_DG","P23","Down"
"Gdap1",0.0719823203434264,3.6176629697557,0.625,0,1,"Gdap1","Granule_DG","P23","Up"
"Pnkd",0.0719823203434264,3.93214773201752,0.625,0,1,"Pnkd","Granule_DG","P23","Up"
"Ralgapa2",0.0719823203434264,3.52365553139489,0.625,0,1,"Ralgapa2","Granule_DG","P23","Up"
"Ggt7",0.0719823203434264,3.93306294792237,0.625,0,1,"Ggt7","Granule_DG","P23","Up"
"Eif4e",0.0719823203434264,4.05492955701712,0.625,0,1,"Eif4e","Granule_DG","P23","Up"
"Dnajb4",0.0719823203434264,3.72592684662606,0.625,0,1,"Dnajb4","Granule_DG","P23","Up"
"Ccdc30",0.0719823203434264,3.65196044758073,0.625,0,1,"Ccdc30","Granule_DG","P23","Up"
"Adam22",0.0719823203434264,4.25170576481013,0.625,0,1,"Adam22","Granule_DG","P23","Up"
"Sirt4",0.0719823203434264,4.031390704259,0.625,0,1,"Sirt4","Granule_DG","P23","Up"
"Atp2a2",0.0719823203434264,4.25500324414643,0.625,0,1,"Atp2a2","Granule_DG","P23","Up"
"N4bp2l2",0.0719823203434264,4.16289219617494,0.625,0,1,"N4bp2l2","Granule_DG","P23","Up"
"Lrrtm4",0.0719823203434264,4.20143377545327,0.625,0,1,"Lrrtm4","Granule_DG","P23","Up"
"Tia1",0.0719823203434264,4.51953854096643,0.625,0,1,"Tia1","Granule_DG","P23","Up"
"Lrp3",0.0719823203434264,3.87507635924783,0.625,0,1,"Lrp3","Granule_DG","P23","Up"
"Shank1",0.0719823203434264,3.49719985376615,0.625,0,1,"Shank1","Granule_DG","P23","Up"
"Ankrd10",0.0719823203434264,3.72334897693236,0.625,0,1,"Ankrd10","Granule_DG","P23","Up"
"Slc20a2",0.0719823203434264,3.67725298512996,0.625,0,1,"Slc20a2","Granule_DG","P23","Up"
"Rab3a",0.0719823203434264,3.95125064969691,0.625,0,1,"Rab3a","Granule_DG","P23","Up"
"Kri1",0.0719823203434264,3.54764769951529,0.625,0,1,"Kri1","Granule_DG","P23","Up"
