"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Xkr4",0.951816189842112,0.0403858178488761,0.344,0.347,1,"Xkr4","OPC_1","P08","Up"
"Rab2a",0.952133258551774,-0.0160840660561978,0.377,0.371,1,"Rab2a","OPC_1","P08","Down"
"Ranbp2",0.952245515184141,-0.0247970872750051,0.323,0.335,1,"Ranbp2","OPC_1","P08","Down"
"Usp54",0.953325203653841,-0.0404504391655753,0.262,0.261,1,"Usp54","OPC_1","P08","Down"
"Tut4",0.954344709526763,0.0518796624920745,0.364,0.384,1,"Tut4","OPC_1","P08","Up"
"Rnf216",0.954690851042913,-0.0429976430483927,0.277,0.286,1,"Rnf216","OPC_1","P08","Down"
"Gpt2",0.954981162481829,0.0253405658778614,0.407,0.404,1,"Gpt2","OPC_1","P08","Up"
"Zfp488",0.95626962826568,0.0153975095817376,0.392,0.408,1,"Zfp488","OPC_1","P08","Up"
"Herc2",0.956303835720894,-0.0230530856301565,0.267,0.269,1,"Herc2","OPC_1","P08","Down"
"Brd4",0.956771795119422,-0.0097807677513857,0.49,0.502,1,"Brd4","OPC_1","P08","Down"
"Setdb1",0.957553252038854,-0.00242752305692567,0.267,0.278,1,"Setdb1","OPC_1","P08","Down"
"Myh10",0.957747700726207,-0.0166091409773645,0.452,0.449,1,"Myh10","OPC_1","P08","Down"
"Nemf",0.957962089453589,0.069962490545422,0.266,0.278,1,"Nemf","OPC_1","P08","Up"
"Tnpo2",0.958679082413415,0.0129278014517678,0.302,0.314,1,"Tnpo2","OPC_1","P08","Up"
"Bnip2",0.958844678276859,0.0729508014868759,0.353,0.376,1,"Bnip2","OPC_1","P08","Up"
"Atp6v0e",0.958976755798737,-0.0315447400187274,0.322,0.322,1,"Atp6v0e","OPC_1","P08","Down"
"Chuk",0.959015420549337,-0.0500855446781686,0.325,0.339,1,"Chuk","OPC_1","P08","Down"
"Dmxl1",0.959027509281706,-0.00278570129442457,0.343,0.355,1,"Dmxl1","OPC_1","P08","Down"
